LUGAR	HORA	FECHA	Alcatraz adulto	Alcatraz inmaduro	Alcatraz juvenil	Gaviota patiamarilla	Gaviota sombr¡a	Gaviota arg‚ntea europea	Gaviota c spica	Gaviota reidora	Gaviota trid ctila	Gaviota cabecinegra	Gaviota cana	Gaviota enana	Gavi¢n atl ntico	Gavi¢n hiperb¢reo	Gaviota peque¤a	Pardela balear	Pardela mediterr nea	Pardela pichoneta	Pardela sombr¡a	Pardela cenicienta	Pardela capirotada	Pardela sp	Pa¡¤o europeo	Pa¡¤o boreal	Fulmar boreal	Cormor n mo¤udo	Alcarao	Arao com£n	Alca com£n	Frailecillo atl ntico	M‚rgulo atl ntico	P galo grande	P galo pomarino	P galo par sito	P galo rabero	Negr¢n com£n	Negr¢n especulado	Barnacla carinegra	Tarro blanco	µnade	µnade azul¢n	Cerceta com£n	µnade rabudo	Silb¢n europeo	Pato havelda	Cuchara com£n	Sterna sp	Charr n com£n	Charr n comic	Charr n patinegro	Fumarel com£n	Pagaza piquirroja	Pagaza piconegra	Lim¡cola	Vuelvepiedras com£n	Avoceta com£n	Aguja colipinta	Chorlito gris	Chorlito dorado europeo	Chorlitejo chico	Chorlitejo grande	Falaropo picogrueso	Archibebe com£n	Zarapito trinador	Zarapito real	Zarapito ?	Correlimos sp	Andarr¡os chico	Ostrero euroasi tico	Esp tula	Garceta com£n	Garceta grande	Garza real	Garza imperial	Garcilla bueyera	Colimbo grande	Colimbo chico	Colimbo  rtico	Cormor n grande	Fring¡lido	Jilguero	Lavandera blanca	Lavandera boyera	Lavandera cascade¤a	Urraca	Cuervo grande	µguila pescadora	Aguilucho p lido	Golondrina com£n	Avi¢n com£n	Vencejo com£n	Tortola europea	Alaudido	Alondra com£n	Pinz¢n vulgar	Bisbita	Bisbita pratense	Busardo ratonero	Mart¡n pescador	Halc¢n peregrino	Mosquitero musical	Paloma torcaz	Zorzal alirrojo	Zorzal com£n	Petirrojo	Colirrojo tiz¢n	Verder¢n com£n	Milano negro	Delf¡n mular	Delf¡n com£n	Marsopa	Yubarta	Delf¡n	Pez luna	T£nido	At£n rojo
POSBIMEP W	11:45-12:15	09/01/2019	2																																																																																																																			
POSBIMEP A	11:45-12:15	09/01/2019																																																																																																																				
POSBIMEP E	11:45-12:15	09/01/2019	2																																																																																																																			
PREBIMEP W	14:15-14:45	09/01/2019																																																																																																																				
PREBIMEP A	14:15-14:45	09/01/2019																																																																																																																				
PREBIMEP E	14:15-14:45	09/01/2019																																																																																																																				
BIMEP BAJO W	14:15-14:45	09/01/2019																																																																														1																																						
BIMEP BAJO A	14:15-14:45	09/01/2019																																																																																																																				
BIMEP BAJO E	14:15-14:45	09/01/2019	7																																																																																																																			
BIMEP ALTO W	14:15-14:45	09/01/2019																																																																																																																				
BIMEP ALTO E	14:15-14:45	09/01/2019																																																																																																																				
POSBIMEP W	14:15-14:45	09/01/2019	2																																																																																																																			
POSBIMEP A	14:15-14:45	09/01/2019																																																																																																																				
POSBIMEP E	14:15-14:45	09/01/2019																																																																																																																				
PREBIMEP W	14:45-15:15	09/01/2019				1																																																																																																																
PREBIMEP A	14:45-15:15	09/01/2019																																																																																																																				
PREBIMEP E	14:45-15:15	09/01/2019																																																																																																																				
BIMEP BAJO W	14:45-15:15	09/01/2019																																																																																																																				
BIMEP BAJO A	14:45-15:15	09/01/2019																																																																																																																				
BIMEP BAJO E	14:45-15:15	09/01/2019																																																																																																																				
BIMEP ALTO W	14:45-15:15	09/01/2019				1																																																																																																																
BIMEP ALTO E	14:45-15:15	09/01/2019																																																																																																																				
POSBIMEP W	14:45-15:15	09/01/2019																																																																																																																				
POSBIMEP A	14:45-15:15	09/01/2019																																																																																																																				
POSBIMEP E	14:45-15:15	09/01/2019	6																																																																																																																			
PREBIMEP W	15:15-15:45	09/01/2019																																																																																																																				
PREBIMEP A	15:15-15:45	09/01/2019																																																																																																																				
PREBIMEP E	15:15-15:45	09/01/2019				2																																																																																																																
BIMEP BAJO W	15:15-15:45	09/01/2019	1															1																																																																																																				
BIMEP BAJO A	15:15-15:45	09/01/2019																																																																																																																				
BIMEP BAJO E	15:15-15:45	09/01/2019																																																																																																																				
BIMEP ALTO W	15:15-15:45	09/01/2019	2																																																																																																																			
BIMEP ALTO E	15:15-15:45	09/01/2019	1			1																																																																																																																
POSBIMEP W	15:15-15:45	09/01/2019	1																																																																																																																			
POSBIMEP A	15:15-15:45	09/01/2019																																																																																																																				
POSBIMEP E	15:15-15:45	09/01/2019	4																																																																																																																			
PREBIMEP W	15:45-16:15	09/01/2019																																																																																																																				
PREBIMEP A	15:45-16:15	09/01/2019																																																																																																																				
PREBIMEP E	15:45-16:15	09/01/2019				1																																																																																																																
BIMEP BAJO W	15:45-16:15	09/01/2019																																																																																																																				
BIMEP BAJO A	15:45-16:15	09/01/2019																																																																																																																				
BIMEP BAJO E	15:45-16:15	09/01/2019																																																																																																																				
BIMEP ALTO W	15:45-16:15	09/01/2019																																																																																																																				
BIMEP ALTO E	15:45-16:15	09/01/2019																																																																																																																				
POSBIMEP W	15:45-16:15	09/01/2019	1																																																																																																																			
POSBIMEP A	15:45-16:15	09/01/2019																																																																																																																				
POSBIMEP E	15:45-16:15	09/01/2019	6																																																																																																																			
PREBIMEP W	16:15-16:45	09/01/2019																																																																																																																				
PREBIMEP A	16:15-16:45	09/01/2019																																																																																																																				
PREBIMEP E	16:15-16:45	09/01/2019				2																																																																																																																
BIMEP BAJO W	16:15-16:45	09/01/2019																																																																																																																				
BIMEP BAJO A	16:15-16:45	09/01/2019																																																																																																																				
BIMEP BAJO E	16:15-16:45	09/01/2019																																																																																																																				
BIMEP ALTO W	16:15-16:45	09/01/2019																																																																																																																				
BIMEP ALTO E	16:15-16:45	09/01/2019																																																																																																																				
POSBIMEP W	16:15-16:45	09/01/2019																																																																																																																				
POSBIMEP A	16:15-16:45	09/01/2019																																																																																																																				
POSBIMEP E	16:15-16:45	09/01/2019																																																																																																																				
PREBIMEP W	16:45-17:15	09/01/2019				2																																																																																																																
PREBIMEP A	16:45-17:15	09/01/2019																																																																																																																				
PREBIMEP E	16:45-17:15	09/01/2019				3																																																																																																																
BIMEP BAJO W	16:45-17:15	09/01/2019																																																																																																																				
BIMEP BAJO A	16:45-17:15	09/01/2019																																																																																																																				
BIMEP BAJO E	16:45-17:15	09/01/2019																																																																																																																				
BIMEP ALTO W	16:45-17:15	09/01/2019																																																																																																																				
BIMEP ALTO E	16:45-17:15	09/01/2019																																																																																																																				
POSBIMEP W	16:45-17:15	09/01/2019																																																																																																																				
POSBIMEP A	16:45-17:15	09/01/2019																																																																																																																				
POSBIMEP E	16:45-17:15	09/01/2019																																																																																																																				
PREBIMEP W	9:00-9:30	26/02/2019	3			8																																																																																																																
PREBIMEP A	9:00-9:30	26/02/2019																																																																																																																1				
PREBIMEP E	9:00-9:30	26/02/2019				12	13																																																																																																															
BIMEP BAJO W	9:00-9:30	26/02/2019	6																										1																																																																																		60							
BIMEP BAJO A	9:00-9:30	26/02/2019																																																																																																																				
BIMEP BAJO E	9:00-9:30	26/02/2019	2																																																																																																																			
BIMEP ALTO W	9:00-9:30	26/02/2019																																																																																																																				
BIMEP ALTO E	9:00-9:30	26/02/2019				3																																																																																																																
POSBIMEP W	9:00-9:30	26/02/2019		7																																																																																																																		
POSBIMEP A	9:00-9:30	26/02/2019																																																																																																																				
POSBIMEP E	9:00-9:30	26/02/2019		29																																																																																																																		
PREBIMEP W	9:30-10:00	26/02/2019	1			9																																																																																																																
PREBIMEP A	9:30-10:00	26/02/2019																																																																																																																				
PREBIMEP E	9:30-10:00	26/02/2019				13	10																																																																																																															
BIMEP BAJO W	9:30-10:00	26/02/2019	3			2																							2																																																																																									
BIMEP BAJO A	9:30-10:00	26/02/2019																																																																																																																				
BIMEP BAJO E	9:30-10:00	26/02/2019																																																																																																																				
BIMEP ALTO W	9:30-10:00	26/02/2019																																																																																																																				
BIMEP ALTO E	9:30-10:00	26/02/2019																																																																																																																				
POSBIMEP W	9:30-10:00	26/02/2019																																																																																																																				
POSBIMEP A	9:30-10:00	26/02/2019																																																																																																																				
POSBIMEP E	9:30-10:00	26/02/2019	18																																																																																																																			
PREBIMEP W	10:00-10:30	26/02/2019	4			12	8			1																																																																																																												
PREBIMEP A	10:00-10:30	26/02/2019																																																																																																																				
PREBIMEP E	10:00-10:30	26/02/2019				14																																																																																																																
BIMEP BAJO W	10:00-10:30	26/02/2019	6																																																																																																																			
BIMEP BAJO A	10:00-10:30	26/02/2019																																																																																																																				
BIMEP BAJO E	10:00-10:30	26/02/2019																																																																																																																				
BIMEP ALTO W	10:00-10:30	26/02/2019	7																																																																																																																			
BIMEP ALTO E	10:00-10:30	26/02/2019	2																																																																																																																			
POSBIMEP W	10:00-10:30	26/02/2019																																																																																																																				
POSBIMEP A	10:00-10:30	26/02/2019																																																																																																																				
POSBIMEP E	10:00-10:30	26/02/2019		7																																																																																																																		
PREBIMEP W	10:30-11:00	26/02/2019	2			6																																																																																																																
PREBIMEP A	10:30-11:00	26/02/2019																																																																																																																				
PREBIMEP E	10:30-11:00	26/02/2019				16	23																																																																																																															
BIMEP BAJO W	10:30-11:00	26/02/2019																																																																																																																				
BIMEP BAJO A	10:30-11:00	26/02/2019																																																																																																																				
BIMEP BAJO E	10:30-11:00	26/02/2019	11																																																																																																																			
BIMEP ALTO W	10:30-11:00	26/02/2019	3																																																																																																																			
BIMEP ALTO E	10:30-11:00	26/02/2019	8																																																																																																																			
POSBIMEP W	10:30-11:00	26/02/2019																																																																																																																				
POSBIMEP A	10:30-11:00	26/02/2019																																																																																																																				
POSBIMEP E	10:30-11:00	26/02/2019	17																																																																																																																			
PREBIMEP W	11:00-11:30	26/02/2019				7	1																																																																																																															
PREBIMEP A	11:00-11:30	26/02/2019																																																																																																																				
PREBIMEP E	11:00-11:30	26/02/2019				5	6																																																																																																															
BIMEP BAJO W	11:00-11:30	26/02/2019																																																																																																																				
BIMEP BAJO A	11:00-11:30	26/02/2019																																																																																																																				
BIMEP BAJO E	11:00-11:30	26/02/2019								3																																																																																																												
BIMEP ALTO W	11:00-11:30	26/02/2019	2	1		1																																																																																																																
BIMEP ALTO E	11:00-11:30	26/02/2019	6			3																																																																																																																
POSBIMEP W	11:00-11:30	26/02/2019																																																																																																																				
POSBIMEP A	11:00-11:30	26/02/2019																																																																																																																				
POSBIMEP E	11:00-11:30	26/02/2019																																																																																																																				
PREBIMEP W	11:30-12:00	26/02/2019				7																																																																																																																
PREBIMEP A	11:30-12:00	26/02/2019																																																																																																																				
PREBIMEP E	11:30-12:00	26/02/2019		1		13	1																																																																																																															
BIMEP BAJO W	11:30-12:00	26/02/2019																																																																																																																				
BIMEP BAJO A	11:30-12:00	26/02/2019																																																																																																																				
BIMEP BAJO E	11:30-12:00	26/02/2019																																																																																																																				
BIMEP ALTO W	11:30-12:00	26/02/2019																																																																																																																				
BIMEP ALTO E	11:30-12:00	26/02/2019	1																																																																																																																			
POSBIMEP W	11:30-12:00	26/02/2019																																																																																																																				
POSBIMEP A	11:30-12:00	26/02/2019																																																																																																																				
POSBIMEP E	11:30-12:00	26/02/2019	3	2																																																																																																																		
PREBIMEP W	15:00-15:30	26/02/2019				2																																																																																																																
PREBIMEP A	15:00-15:30	26/02/2019																										1																																																																																										
PREBIMEP E	15:00-15:30	26/02/2019				7	11																					1																																																																																										
BIMEP BAJO W	15:00-15:30	26/02/2019																																																																																																																				
BIMEP BAJO A	15:00-15:30	26/02/2019																																																																																																																				
BIMEP BAJO E	15:00-15:30	26/02/2019	1																																																																																																																			
BIMEP ALTO W	15:00-15:30	26/02/2019																																																																																																																				
BIMEP ALTO E	15:00-15:30	26/02/2019	1			1																																																																																																																
POSBIMEP W	15:00-15:30	26/02/2019																																																																																																																				
POSBIMEP A	15:00-15:30	26/02/2019																																																																																																																				
POSBIMEP E	15:00-15:30	26/02/2019																																																																																																																				
PREBIMEP W	15:30-16:00	26/02/2019				4																																																																																																																
PREBIMEP A	15:30-16:00	26/02/2019																																																																																																																				
PREBIMEP E	15:30-16:00	26/02/2019				5	13																																																																																																															
BIMEP BAJO W	15:30-16:00	26/02/2019																																																																																																																				
BIMEP BAJO A	15:30-16:00	26/02/2019																																																																																																																				
BIMEP BAJO E	15:30-16:00	26/02/2019				1				2																																																																																																												
BIMEP ALTO W	15:30-16:00	26/02/2019																																																																																																																				
BIMEP ALTO E	15:30-16:00	26/02/2019																																																																																																																				
POSBIMEP W	15:30-16:00	26/02/2019																																																																																																																				
POSBIMEP A	15:30-16:00	26/02/2019																																																																																																																				
POSBIMEP E	15:30-16:00	26/02/2019																																																																																																																				
PREBIMEP W	16:00-16:30	26/02/2019				4	3																																																																																																															
PREBIMEP A	16:00-16:30	26/02/2019																																																																																																																				
PREBIMEP E	16:00-16:30	26/02/2019				4																																																																																																									30							
BIMEP BAJO W	16:00-16:30	26/02/2019	10																																																																																																																			
BIMEP BAJO A	16:00-16:30	26/02/2019																																																																																																																				
BIMEP BAJO E	16:00-16:30	26/02/2019	3							1																																																																																																												
BIMEP ALTO W	16:00-16:30	26/02/2019	8																																																																																																																			
BIMEP ALTO E	16:00-16:30	26/02/2019	1																																																																																																																			
POSBIMEP W	16:00-16:30	26/02/2019																																																																																																																				
POSBIMEP A	16:00-16:30	26/02/2019																																																																																																																				
POSBIMEP E	16:00-16:30	26/02/2019																																																																																																																				
PREBIMEP W	16:30-17:00	26/02/2019				6																																																																																																																
PREBIMEP A	16:30-17:00	26/02/2019																																																																																																																				
PREBIMEP E	16:30-17:00	26/02/2019				25	9								2																																																																																																							
BIMEP BAJO W	16:30-17:00	26/02/2019	2																																																																																																																			
BIMEP BAJO A	16:30-17:00	26/02/2019																																																																																																																				
BIMEP BAJO E	16:30-17:00	26/02/2019	9																																																																																																																			
BIMEP ALTO W	16:30-17:00	26/02/2019	3																																																																																																																			
BIMEP ALTO E	16:30-17:00	26/02/2019	3																																																																																																																			
POSBIMEP W	16:30-17:00	26/02/2019																																																																																																																				
POSBIMEP A	16:30-17:00	26/02/2019																																																																																																																				
POSBIMEP E	16:30-17:00	26/02/2019																																																																																																																				
PREBIMEP W	17:00-17:30	26/02/2019	1			4																																																																																																																
PREBIMEP A	17:00-17:30	26/02/2019																																																																																																																				
PREBIMEP E	17:00-17:30	26/02/2019	2			6	9																					1																																																																																										
BIMEP BAJO W	17:00-17:30	26/02/2019	2																											2																																																																																								
BIMEP BAJO A	17:00-17:30	26/02/2019																																																																																																																				
BIMEP BAJO E	17:00-17:30	26/02/2019	12	1																																																																																																																		
BIMEP ALTO W	17:00-17:30	26/02/2019	7																																																																																																																			
BIMEP ALTO E	17:00-17:30	26/02/2019	1																																																																																																																			
POSBIMEP W	17:00-17:30	26/02/2019	4																																																																																																																			
POSBIMEP A	17:00-17:30	26/02/2019																																																																																																																				
POSBIMEP E	17:00-17:30	26/02/2019	8																																																																																																																			
PREBIMEP W	17:30-18:00	26/02/2019	4																																																																																																																			
PREBIMEP A	17:30-18:00	26/02/2019																																																																																																																				
PREBIMEP E	17:30-18:00	26/02/2019	2	1			36																																																																																																															
BIMEP BAJO W	17:30-18:00	26/02/2019	3																																																																																																																			
BIMEP BAJO A	17:30-18:00	26/02/2019																																																																																																																				
BIMEP BAJO E	17:30-18:00	26/02/2019	1									4																																																																																																										
BIMEP ALTO W	17:30-18:00	26/02/2019	3	1																																																																																																																		
BIMEP ALTO E	17:30-18:00	26/02/2019	1																																																																																																																			
POSBIMEP W	17:30-18:00	26/02/2019	1																																																																																																																			
POSBIMEP A	17:30-18:00	26/02/2019																																																																																																																				
POSBIMEP E	17:30-18:00	26/02/2019																																																																																																																				
PREBIMEP W	9:15-9:45	13/05/2019				7																																																																																																																
PREBIMEP A	9:15-9:45	13/05/2019				7																																																																																																																
PREBIMEP E	9:15-9:45	13/05/2019				21																																																																																																																
BIMEP BAJO W	9:15-9:45	13/05/2019				1																																																																																																																
BIMEP BAJO A	9:15-9:45	13/05/2019		1																																																																																																																		
BIMEP BAJO E	9:15-9:45	13/05/2019		2		2																																																																																																																
BIMEP ALTO W	9:15-9:45	13/05/2019		2																																																																																																																		
BIMEP ALTO E	9:15-9:45	13/05/2019	2	4																																																																																																																		
POSBIMEP W	9:15-9:45	13/05/2019																																																																																																																				
POSBIMEP A	9:15-9:45	13/05/2019																																																																																																																				
POSBIMEP E	9:15-9:45	13/05/2019		1																																																																																																																		
PREBIMEP W	9:45-10:15	13/05/2019				16																																																																																																																
PREBIMEP A	9:45-10:15	13/05/2019																																																																																																																				
PREBIMEP E	9:45-10:15	13/05/2019				5																																																																																					2																											
BIMEP BAJO W	9:45-10:15	13/05/2019				4																																																																																																																
BIMEP BAJO A	9:45-10:15	13/05/2019																																																																																																																				
BIMEP BAJO E	9:45-10:15	13/05/2019				42																																																																																																																
BIMEP ALTO W	9:45-10:15	13/05/2019				2																																																																																																																
BIMEP ALTO E	9:45-10:15	13/05/2019																																																																																																																				
POSBIMEP W	9:45-10:15	13/05/2019																																																																																																																				
